code,libelle,type,code_dren,lib_dren
041611,COLLEGE JULES ET MARCELLE SONGON,PRIVE,40,ABIDJAN 3
041612,COLLEGE PRIVE OBETON SONA 2 DE YOPOUGON,PRIVE,40,ABIDJAN 3
041613,COLLEGE YADA CLEMENT 2 / YOPOUGON,PRIVE,40,ABIDJAN 3
041614,COLLEGE ABOUDRAMANE TRAORE / ABOBO PK 18,PRIVE,41,ABIDJAN 4
041615,COLLEGE DOYEN LAMINE FADIGA / ABOBO,PRIVE,41,ABIDJAN 4
041616,COLLEGE EULALIE BLAH 2 / ABOBO,PRIVE,41,ABIDJAN 4
041617,COLLEGE LA REGINA / ANYAMA-ADJAME,PRIVE,41,ABIDJAN 4
041618,COLLEGE PRIVE JEAN LACOUR D'ABOBO N'DOTRE,PRIVE,41,ABIDJAN 4
041619,COLLEGE PRIVE VERSAILLES / N'DOTRE,PRIVE,41,ABIDJAN 4
041696,COLLEGE D'ENSEIGNEMENT TECHNIQUE I.S.T.M / YOPOUGON,PRIVE,40,ABIDJAN 3
049575,COLLEGE PRIVE GNACANACI EXCELLENCE DE BINGERVILLE,PRIVE,12,ABIDJAN 1
049576,COLLEGE PRIVE IRFT-REHOBOTH DE RIVIERA PALMERAIE,PRIVE,12,ABIDJAN 1
049579,COLLEGE PRIVE POYANNE DE BINGERVILLE,PRIVE,12,ABIDJAN 1
049582,COLLEGE LA PAIX DIVINE 1 DE PORT-BOUET,PRIVE,31,ABIDJAN 2
049583,COLLEGE LE PEDAGOGUE DE PORT-BOUET GONZAGUEVILLE,PRIVE,31,ABIDJAN 2
049584,COLLEGE HIDAYATOU NACHI INE DE YOPOUGON -ATTIE,PRIVE,40,ABIDJAN 3
049586,COLLEGE PRIVE LA ROSE DE YOPOUGON,PRIVE,40,ABIDJAN 3
049588,COLLEGE FAH DOUMBIA DE ABOBO,PRIVE,41,ABIDJAN 4
049591,"COLLEGE PRIVE DJIGUIYA DE OUAMELHORO D'ANYAMA PK 18
BLANKRO",PRIVE,41,ABIDJAN 4
049592,COLLEGE PRIVE NOUSSIRA DE ABOBO,PRIVE,41,ABIDJAN 4
049593,COLLEGE PRIVE NOVIE D'ATTINGUIE,PRIVE,41,ABIDJAN 4
049595,COLLEGE PRIVE TCHINGO-HARMAND DE ABOBO,PRIVE,41,ABIDJAN 4
049597,GROUPE SCOLAIRE LA COMPETENCE D'ANYAMA,PRIVE,41,ABIDJAN 4
049676,"CENTRE D'ETUDES SUPERIEURES DES AFFAIRES ( CESA) DE
KOUMASSI",PRIVE,31,ABIDJAN 2
049703,COLLEGE IMPERIAL DE COCODY,PRIVE,12,ABIDJAN 1
049704,COLLEGE PRIVE SIATA DE YOPOUGON,PRIVE,40,ABIDJAN 3
049885,COLLEGE IRIS 3 DE YOPOUGON,PRIVE,40,ABIDJAN 3
054593,COLLEGE PRIVE FLEUR DE LYS DE BINGERVILLE,PRIVE,12,ABIDJAN 1
054594,COLLEGE PRIVE TECHNIQUE HENRI CARTAN DE COCODY,PRIVE,12,ABIDJAN 1
054654,COLLEGE PRIVE DJIBI 2 D'ANGUEDEDOU,PRIVE,40,ABIDJAN 3
